faa,name
04G,Lansdowne Airport
06A,Moton Field Municipal Airport
06C,Schaumburg Regional
06N,Randall Airport
09J,Jekyll Island Airport
0A9,Elizabethton Municipal Airport
0G6,Williams County Airport
0G7,Finger Lakes Regional Airport
0P2,Shoestring Aviation Airfield
0S9,Jefferson County Intl
0W3,Harford County Airport
10C,Galt Field Airport
17G,Port Bucyrus-Crawford County Airport
19A,Jackson County Airport
1A3,Martin Campbell Field Airport
1B9,Mansfield Municipal
1C9,Frazier Lake Airpark
1CS,Clow International Airport
1G3,Kent State Airport
1G4,Grand Canyon West Airport
1H2,Effingham Memorial Airport
1OH,Fortman Airport
1RL,Point Roberts Airpark
23M,Clarke CO
24C,Lowell City Airport
24J,Suwannee County Airport
25D,Forest Lake Airport
29D,Grove City Airport
2A0,Mark Anton Airport
2B2,Plum Island Airport
2G2,Jefferson County Airpark
2G9,Somerset County Airport
2H0,Shelby County Airport
2J9,Quincy Municipal Airport
369,Atmautluak Airport
36U,Heber City Municipal Airport
38W,Lynden Airport
3D2,Ephraim-Gibraltar Airport
3G3,Wadsworth Municipal
3G4,Ashland County Airport
3J1,Ridgeland Airport
3W2,Put-in-Bay Airport
40J,Perry-Foley Airport
41N,Braceville Airport
47A,Cherokee County Airport
49A,Gilmer County Airport
49X,Chemehuevi Valley
4A4,Polk County Airport - Cornelius Moore Field
4A7,Clayton County Tara Field
4A9,Isbell Field Airport
4B8,Robertson Field
4G0,Pittsburgh-Monroeville Airport
4G2,Hamburg Inc Airport
4G4,Youngstown Elser Metro Airport
4I7,Putnam County Airport
4U9,Dell Flight Strip
52A,Madison GA Municipal Airport
54J,DeFuniak Springs Airport
55J,Fernandina Beach Municipal Airport
55S,Packwood
57C,East Troy Municipal Airport
5B2,Saratoga County Airport
60J,Ocean Isle Beach Airport
6A2,Griffin-Spalding County Airport
6J4,Saluda County
6K8,Tok Junction Airport
6S0,Big Timber Airport
6S2,Florence
6Y8,Welke Airport
70J,Cairo-Grady County Airport
70N,Spring Hill Airport
7A4,Foster Field
7D9,Germack Airport
7N7,Spitfire Aerodrome
8M8,Garland Airport
93C,Richland Airport
99N,Bamberg County Airport
9A1,Covington Municipal Airport
9A5,Barwick Lafayette Airport
9G1,Rock Airport
A39,Phoenix Regional Airport
A50,Colorado Springs East
AAF,Apalachicola Regional Airport
AAP,Andrau Airport
ABE,Lehigh Valley Intl
ABI,Abilene Rgnl
ABL,Ambler Airport
ABQ,Albuquerque International Sunport
ABR,Aberdeen Regional Airport
ABY,Southwest Georgia Regional Airport
ACJ,Jimmy Carter Regional
ACK,Nantucket Mem
ACT,Waco Rgnl
ACV,Arcata
ACY,Atlantic City Intl
ADK,Adak Airport
ADM,Ardmore Muni
ADQ,Kodiak
ADS,Addison
ADW,Andrews Afb
AET,Allakaket Airport
AEX,Alexandria Intl
AFE,Kake Airport
AFW,Fort Worth Alliance Airport
AGC,Allegheny County Airport
AGN,Angoon Seaplane Base
AGS,Augusta Rgnl At Bush Fld
AHN,Athens Ben Epps Airport
AIA,Alliance Municipal Airport
AIK,Municipal Airport
AIN,Wainwright Airport
AIZ,Lee C Fine Memorial Airport
AKB,Atka Airport
AKC,Akron Fulton Intl
AKI,Akiak Airport
AKK,Akhiok Airport
AKN,King Salmon
AKP,Anaktuvuk Pass Airport
ALB,Albany Intl
ALI,Alice Intl
ALM,Alamogordo White Sands Regional Airport
ALO,Waterloo Regional Airport
ALS,San Luis Valley Regional Airport
ALW,Walla Walla Regional Airport
ALX,Alexandria
ALZ,Alitak Seaplane Base
AMA,Rick Husband Amarillo Intl
ANB,Anniston Metro
ANC,Ted Stevens Anchorage Intl
AND,Anderson Rgnl
ANI,Aniak Airport
ANN,Annette Island
ANP,Lee Airport
ANQ,Tri-State Steuben County Airport
ANV,Anvik Airport
AOH,Lima Allen County Airport
AOO,Altoona Blair Co
AOS,Amook Bay Seaplane Base
APA,Centennial
APC,Napa County Airport
APF,Naples Muni
APG,Phillips Aaf
APN,Alpena County Regional Airport
AQC,Klawock Seaplane Base
ARA,Acadiana Rgnl
ARB,Ann Arbor Municipal Airport
ARC,Arctic Village Airport
ART,Watertown Intl
ARV,Lakeland
ASE,Aspen Pitkin County Sardy Field
ASH,Boire Field Airport
AST,Astoria Regional Airport
ATK,Atqasuk Edward Burnell Sr Memorial Airport
ATL,Hartsfield Jackson Atlanta Intl
ATT,Camp Mabry Austin City
ATW,Appleton
ATY,Watertown Regional Airport
AUG,Augusta State
AUK,Alakanuk Airport
AUO,Auburn University Regional
AUS,Austin Bergstrom Intl
AUW,Wausau Downtown Airport
AVL,Asheville Regional Airport
AVO,Executive
AVP,Wilkes Barre Scranton Intl
AVW,Marana Regional
AVX,Avalon
AZA,Phoenix-Mesa Gateway
AZO,Kalamazoo
BAB,Beale Afb
BAD,Barksdale Afb
BAF,Barnes Municipal
BBX,Wings Field
BCE,Bryce Canyon
BCT,Boca Raton
BDE,Baudette Intl
BDL,Bradley Intl
BDR,Igor I Sikorsky Mem
BEC,Beech Factory Airport
BED,Laurence G Hanscom Fld
BEH,Southwest Michigan Regional Airport
BET,Bethel
BFD,Bradford Regional Airport
BFF,Western Nebraska Regional Airport
BFI,Boeing Fld King Co Intl
BFL,Meadows Fld
BFM,Mobile Downtown
BFP,Beaver Falls
BFT,Beaufort
BGE,Decatur County Industrial Air Park
BGM,Greater Binghamton Edwin A Link Fld
BGR,Bangor Intl
BHB,Hancock County - Bar Harbor
BHM,Birmingham Intl
BID,Block Island State Airport
BIF,Biggs Aaf
BIG,Allen Aaf
BIL,Billings Logan International Airport
BIS,Bismarck Municipal Airport
BIV,Tulip City Airport
BIX,Keesler Afb
BJC,Rocky Mountain Metropolitan Airport
BJI,Bemidji Regional Airport
BKC,Buckland Airport
BKD,Stephens Co
BKF,Buckley Afb
BKG,Branson LLC
BKH,Barking Sands Pmrf
BKL,Burke Lakefront Airport
BKW,Raleigh County Memorial Airport
BKX,Brookings Regional Airport
BLD,Boulder City Municipal Airport
BLF,Mercer County Airport
BLH,Blythe Airport
BLI,Bellingham Intl
BLV,Scott Afb Midamerica
BMC,Brigham City
BMG,Monroe County Airport
BMI,Central Illinois Rgnl
BMT,Beaumont Municipal
BMX,Big Mountain Afs
BNA,Nashville Intl
BOI,Boise Air Terminal
BOS,General Edward Lawrence Logan Intl
BOW,Bartow Municipal Airport
BPT,Southeast Texas Rgnl
BQK,Brunswick Golden Isles Airport
BRD,Brainerd Lakes Rgnl
BRL,Southeast Iowa Regional Airport
BRO,Brownsville South Padre Island Intl
BRW,Wiley Post Will Rogers Mem
BSF,Bradshaw Aaf
BTI,Barter Island Lrrs
BTM,Bert Mooney Airport
BTR,Baton Rouge Metro Ryan Fld
BTT,Bettles
BTV,Burlington Intl
BUF,Buffalo Niagara Intl
BUR,Bob Hope
BUU,Municipal Airport
BUY,Burlington-Alamance Regional Airport
BVY,Beverly Municipal Airport
BWD,KBWD
BWG,Bowling Green-Warren County Regional Airport
BWI,Baltimore Washington Intl
BXK,Buckeye Municipal Airport
BXS,Borrego Valley Airport
BYH,Arkansas Intl
BYS,Bicycle Lake Aaf
BYW,Blakely Island Airport
BZN,Gallatin Field
C02,Grand Geneva Resort Airport
C16,Frasca Field
C47,Portage Municipal Airport
C65,Plymouth Municipal Airport
C89,Sylvania Airport
C91,Dowagiac Municipal Airport
CAE,Columbia Metropolitan
CAK,Akron Canton Regional Airport
CAR,Caribou Muni
CBE,Greater Cumberland Rgnl.
CBM,Columbus Afb
CCO,Coweta County Airport
CCR,Buchanan Field Airport
CDB,Cold Bay
CDC,Cedar City Rgnl
CDI,Cambridge Municipal Airport
CDK,CedarKey
CDN,Woodward Field
CDR,Chadron Municipal Airport
CDS,Childress Muni
CDV,Merle K Mudhole Smith
CDW,Caldwell Essex County Airport
CEC,Del Norte County Airport
CEF,Westover Arb Metropolitan
CEM,Central Airport
CEU,Clemson
CEW,Bob Sikes
CEZ,Cortez Muni
CFD,Coulter Fld
CGA,Craig Seaplane Base
CGC,Crystal River
CGF,Cuyahoga County
CGI,Cape Girardeau Regional Airport
CGX,Meigs Field
CGZ,Casa Grande Municipal Airport
CHA,Lovell Fld
CHI,All Airports
CHO,Charlottesville-Albemarle
CHS,Charleston Afb Intl
CHU,Chuathbaluk Airport
CIC,Chico Muni
CID,Cedar Rapids
CIK,Chalkyitsik Airport
CIL,Council Airport
CIU,Chippewa County International Airport
CKB,Harrison Marion Regional Airport
CKD,Crooked Creek Airport
CKF,Crisp County Cordele Airport
CKV,Clarksville-Montgomery County Regional Airport
CLC,Clear Lake Metroport
CLD,McClellan-Palomar Airport
CLE,Cleveland Hopkins Intl
CLL,Easterwood Fld
CLM,William R Fairchild International Airport
CLS,Chehalis-Centralia
CLT,Charlotte Douglas Intl
CLW,Clearwater Air Park
CMH,Port Columbus Intl
CMI,Champaign
CMX,Houghton County Memorial Airport
CNM,Cavern City Air Terminal
CNW,Tstc Waco
CNY,Canyonlands Field
COD,Yellowstone Rgnl
COE,Pappy Boyington
COF,Patrick Afb
COI,Merritt Island Airport
CON,Concord Municipal
COS,City Of Colorado Springs Muni
COT,Cotulla Lasalle Co
COU,Columbia Rgnl
CPR,Natrona Co Intl
CPS,St. Louis Downtown Airport
CRE,Grand Strand Airport
CRP,Corpus Christi Intl
CRW,Yeager
CSG,Columbus Metropolitan Airport
CTB,Cut Bank Muni
CTH,Chester County G O Carlson Airport
CTJ,West Georgia Regional Airport - O V Gray Field
CTY,Cross City
CVG,Cincinnati Northern Kentucky Intl
CVN,Clovis Muni
CVO,Corvallis Muni
CVS,Cannon Afb
CVX,Charlevoix Municipal Airport
CWA,Central Wisconsin
CWI,Clinton Municipal
CWT,Chatsworth Station
CXF,Coldfoot Airport
CXL,Calexico Intl
CXO,Lone Star Executive
CXY,Capital City Airport
CYF,Chefornak Airport
CYM,Chatham Seaplane Base
CYS,Cheyenne Rgnl Jerry Olson Fld
CYT,Yakataga Airport
CZF,Cape Romanzof Lrrs
CZG,Tri-Cities
CZN,Chisana Airport
DAB,Daytona Beach Intl
DAL,Dallas Love Fld
DAW,Skyhaven Airport
DAY,James M Cox Dayton Intl
DBN,W H Barron Field
DBQ,Dubuque Rgnl
DCA,Ronald Reagan Washington Natl
DDC,Dodge City Regional Airport
DEC,Decatur
DEN,Denver Intl
DET,Coleman A Young Muni
DFW,Dallas Fort Worth Intl
DGL,Douglas Municipal Airport
DHB,Deer Harbor Seaplane
DHN,Dothan Rgnl
DHT,Dalhart Muni
DIK,Dickinson Theodore Roosevelt Regional Airport
DKB,De Kalb Taylor Municipal Airport
DKK,Chautauqua County-Dunkirk Airport
DKX,Knoxville Downtown Island Airport
DLF,Laughlin Afb
DLG,Dillingham
DLH,Duluth Intl
DLL,Baraboo Wisconsin Dells Airport
DMA,Davis Monthan Afb
DNL,Daniel Field Airport
DNN,Dalton Municipal Airport
DNV,Vermilion Regional
DOV,Dover Afb
DPA,Dupage
DQH,Douglas Municipal Airport
DRG,Deering Airport
DRI,Beauregard Rgnl
DRM,Drummond Island Airport
DRO,Durango La Plata Co
DRT,Del Rio Intl
DSM,Des Moines Intl
DTA,Delta Municipal Airport
DTS,Destin
DTW,Detroit Metro Wayne Co
DUC,Halliburton Field Airport
DUG,Bisbee Douglas Intl
DUJ,DuBois Regional Airport
DUT,Unalaska
DVL,Devils Lake Regional Airport
DVT,Deer Valley Municipal Airport
DWA,Yolo County Airport
DWH,David Wayne Hooks Field
DWS,Orlando
DXR,Danbury Municipal Airport
DYS,Dyess Afb
E25,Wickenburg Municipal Airport
E51,Bagdad Airport
E55,Ocean Ridge Airport
E63,Gila Bend Municipal Airport
E91,Chinle Municipal Airport
EAA,Eagle Airport
EAR,Kearney Municipal Airport
EAT,Pangborn Field
EAU,Chippewa Valley Regional Airport
ECA,Iosco County
ECG,Elizabeth City Cgas Rgnl
ECP,Panama City-NW Florida Bea.
EDF,Elmendorf Afb
EDW,Edwards Afb
EEK,Eek Airport
EEN,Dillant Hopkins Airport
EET,Shelby County Airport
EFD,Ellington Fld
EGA,Eagle County Airport
EGE,Eagle Co Rgnl
EGT,Wellington Municipal
EGV,Eagle River
EGX,Egegik Airport
EHM,Cape Newenham Lrrs
EIL,Eielson Afb
EKI,Elkhart Municipal
EKN,Elkins Randolph Co Jennings Randolph
EKO,Elko Regional Airport
EKY,Bessemer
ELD,South Arkansas Rgnl At Goodwin Fld
ELI,Elim Airport
ELM,Elmira Corning Rgnl
ELP,El Paso Intl
ELV,Elfin Cove Seaplane Base
ELY,Ely Airport
EMK,Emmonak Airport
EMP,Emporia Municipal Airport
ENA,Kenai Muni
END,Vance Afb
ENV,Wendover
ENW,Kenosha Regional Airport
EOK,Keokuk Municipal Airport
EPM,Eastport Municipal Airport
EQY,Monroe Reqional Airport
ERI,Erie Intl Tom Ridge Fld
ERV,Kerrville Municipal Airport
ERY,Luce County Airport
ESC,Delta County Airport
ESD,Orcas Island Airport
ESF,Esler Rgnl
ESN,Easton-Newnam Field Airport
EUF,Weedon Field
EUG,Mahlon Sweet Fld
EVV,Evansville Regional
EVW,Evanston-Uinta CO Burns Fld
EWB,New Bedford Regional Airport
EWK,Newton City-County Airport
EWN,Craven Co Rgnl
EWR,Newark Liberty Intl
EXI,Excursion Inlet Seaplane Base
EYW,Key West Intl
F57,Seaplane Base
FAF,Felker Aaf
FAI,Fairbanks Intl
FAR,Hector International Airport
FAT,Fresno Yosemite Intl
FAY,Fayetteville Regional Grannis Field
FBG,Fredericksburg Amtrak Station
FBK,Ladd Aaf
FBR,Fort Bridger
FBS,Friday Harbor Seaplane Base
FCA,Glacier Park Intl
FCM,Flying Cloud Airport
FCS,Butts Aaf
FDW,Fairfield County Airport
FDY,Findlay Airport
FFA,First Flight Airport
FFC,Atlanta Regional Airport - Falcon Field
FFO,Wright Patterson Afb
FFT,Capital City Airport
FFZ,Mesa Falcon Field
FHU,Sierra Vista Muni Libby Aaf
FIT,Fitchburg Municipal Airport
FKL,Franklin
FLD,Fond Du Lac County Airport
FLG,Flagstaff Pulliam Airport
FLL,Fort Lauderdale Hollywood Intl
FLO,Florence Rgnl
FLV,Sherman Aaf
FME,Tipton
FMH,Otis Angb
FMN,Four Corners Rgnl
FMY,Page Fld
FNL,Fort Collins Loveland Muni
FNR,Funter Bay Seaplane Base
FNT,Bishop International
FOD,Fort Dodge Rgnl
FOE,Forbes Fld
FOK,Francis S Gabreski
FRD,Friday Harbor Airport
FRI,Marshall Aaf
FRN,Bryant Ahp
FRP,St Lucie County International Airport
FSD,Sioux Falls
FSI,Henry Post Aaf
FSM,Fort Smith Rgnl
FST,Fort Stockton Pecos Co
FTK,Godman Aaf
FTW,Fort Worth Meacham Intl
FTY,Fulton County Airport Brown Field
FUL,Fullerton Municipal Airport
FWA,Fort Wayne
FXE,Fort Lauderdale Executive
FYU,Fort Yukon
FYV,Drake Fld
FZG,Fitzgerald Municipal Airport
FZI,Fostoria Metropolitan Airport
GAD,Northeast Alabama Regional Airport
GAI,Montgomery County Airpark
GAL,Edward G Pitka Sr
GAM,Gambell Airport
GBN,Great Bend Municipal
GCC,Gillette-Campbell County Airport
GCK,Garden City Rgnl
GCN,Grand Canyon National Park Airport
GCW,Grand Canyon West Airport
GDV,Dawson Community Airport
GDW,Gladwin Zettel Memorial Airport
GED,Sussex Co
GEG,Spokane Intl
GEU,Glendale Municipal Airport
GFK,Grand Forks Intl
GFL,Floyd Bennett Memorial Airport
GGE,Georgetown County Airport
GGG,East Texas Rgnl
GGW,Wokal Field Glasgow International Airport
GHG,Marshfield Municipal Airport
GIF,Gilbert Airport
GJT,Grand Junction Regional
GKN,Gulkana
GKY,Arlington Municipal
GLD,Renner Fld
GLH,Mid Delta Regional Airport
GLS,Scholes Intl At Galveston
GLV,Golovin Airport
GNT,Grants Milan Muni
GNU,Goodnews Airport
GNV,Gainesville Rgnl
GON,Groton New London
GPT,Gulfport-Biloxi
GPZ,Grand Rapids Itasca County
GQQ,Galion Municipal Airport
GRB,Austin Straubel Intl
GRF,Gray Aaf
GRI,Central Nebraska Regional Airport
GRK,Robert Gray Aaf
GRM,Grand Marais Cook County Airport
GRR,Gerald R Ford Intl
GSB,Seymour Johnson Afb
GSO,Piedmont Triad
GSP,Greenville-Spartanburg International
GST,Gustavus Airport
GTB,Wheeler Sack Aaf
GTF,Great Falls Intl
GTR,Golden Triangle Regional Airport
GTU,Georgetown Municipal Airport
GUC,Gunnison - Crested Butte
GUP,Gallup Muni
GUS,Grissom Arb
GVL,Lee Gilmer Memorial Airport
GVQ,Genesee County Airport
GVT,Majors
GWO,Greenwood Leflore
GYY,Gary Chicago International Airport
HBG,Hattiesburg Bobby L. Chain Municipal Airport
HBR,Hobart Muni
HCC,Columbia County
HCR,Holy Cross Airport
HDH,Dillingham
HDI,Hardwick Field Airport
HDN,Yampa Valley
HDO,Hondo Municipal Airport
HFD,Hartford Brainard
HGR,Hagerstown Regional Richard A Henson Field
HHH,Hilton Head
HHI,Wheeler Aaf
HHR,Jack Northrop Fld Hawthorne Muni
HIB,Chisholm Hibbing
HIF,Hill Afb
HII,Lake Havasu City Airport
HIO,Portland Hillsboro
HKB,Healy River Airport
HKY,Hickory Rgnl
HLG,Wheeling Ohio County Airport
HLN,Helena Rgnl
HLR,Hood Aaf
HMN,Holloman Afb
HNH,Hoonah Airport
HNL,Honolulu Intl
HNM,Hana
HNS,Haines Airport
HOB,Lea Co Rgnl
HOM,Homer
HON,Huron Rgnl
HOP,Campbell Aaf
HOT,Memorial Field
HOU,William P Hobby
HPB,Hooper Bay Airport
HPN,Westchester Co
HQM,Bowerman Field
HQU,McDuffie County Airport
HRL,Valley Intl
HRO,Boone Co
HRT,Hurlburt Fld
HSH,Henderson Executive Airport
HSL,Huslia Airport
HST,Homestead Arb
HSV,Huntsville International Airport-Carl T Jones Field
HTL,Roscommon Co
HTS,Tri State Milton J Ferguson Field
HUA,Redstone Aaf
HUF,Terre Haute Intl Hulman Fld
HUL,Houlton Intl
HUS,Hughes Airport
HUT,Hutchinson Municipal Airport
HVN,Tweed-New Haven Airport
HVR,Havre City Co
HWD,Hayward Executive Airport
HWO,North Perry
HXD,Hilton Head Airport
HYA,Barnstable Muni Boardman Polando Fld
HYG,Hydaburg Seaplane Base
HYL,Hollis Seaplane Base
HYS,Hays Regional Airport
HZL,Hazleton Municipal
IAB,Mc Connell Afb
IAD,Washington Dulles Intl
IAG,Niagara Falls Intl
IAH,George Bush Intercontinental
IAN,Bob Baker Memorial Airport
ICT,Wichita Mid Continent
ICY,Icy Bay Airport
IDA,Idaho Falls Rgnl
IDL,Idlewild Intl
IFP,Laughlin-Bullhead Intl
IGG,Igiugig Airport
IGM,Kingman Airport
IGQ,Lansing Municipal
IJD,Windham Airport
IKK,Greater Kankakee
IKO,Nikolski Air Station
IKR,Kirtland Air Force Base
IKV,Ankeny Regl Airport
ILG,New Castle
ILI,Iliamna
ILM,Wilmington Intl
ILN,Wilmington Airborne Airpark
IMM,Immokalee
IMT,Ford Airport
IND,Indianapolis Intl
INJ,Hillsboro Muni
INK,Winkler Co
INL,Falls Intl
INS,Creech Afb
INT,Smith Reynolds
INW,Winslow-Lindbergh Regional Airport
IOW,Iowa City Municipal Airport
IPL,Imperial Co
IPT,Williamsport Rgnl
IRC,Circle City Airport
IRK,Kirksville Regional Airport
ISM,Kissimmee Gateway Airport
ISN,Sloulin Fld Intl
ISO,Kinston Regional Jetport
ISP,Long Island Mac Arthur
ISW,Alexander Field South Wood County Airport
ITH,Ithaca Tompkins Rgnl
ITO,Hilo Intl
IWD,Gogebic Iron County Airport
IWS,West Houston
IYK,Inyokern Airport
IZG,Eastern Slopes Regional
JAC,Jackson Hole Airport
JAN,Jackson Evers Intl
JAX,Jacksonville Intl
JBR,Jonesboro Muni
JCI,New Century AirCenter Airport
JEF,Jefferson City Memorial Airport
JES,Jesup-Wayne County Airport
JFK,John F Kennedy Intl
JGC,Grand Canyon Heliport
JHM,Kapalua
JHW,Chautauqua County-Jamestown
JKA,Jack Edwards Airport
JLN,Joplin Rgnl
JMS,Jamestown Regional Airport
JNU,Juneau Intl
JOT,Regional Airport
JRA,West 30th St. Heliport
JRB,Wall Street Heliport
JST,John Murtha Johnstown-Cambria County Airport
JVL,Southern Wisconsin Regional Airport
JXN,Reynolds Field
JYL,Plantation Airpark
JYO,Leesburg Executive Airport
JZP,Pickens County Airport
K03,Wainwright As
K27,Burrello-Mechanicville Airport
K83,Sabetha Municipal
KAE,Kake Seaplane Base
KAL,Kaltag Airport
KBC,Birch Creek Airport
KBW,Chignik Bay Seaplane Base
KCC,Coffman Cove Seaplane Base
KCL,Chignik Lagoon Airport
KCQ,Chignik Lake Airport
KEH,Kenmore Air Harbor Inc Seaplane Base
KEK,Ekwok Airport
KFP,False Pass Airport
KGK,Koliganek Airport
KGX,Grayling Airport
KKA,Koyuk Alfred Adams Airport
KKB,Kitoi Bay Seaplane Base
KKH,Kongiganak Airport
KLG,Kalskag Airport
KLL,Levelock Airport
KLN,Larsen Bay Airport
KLS,Kelso Longview
