faa,name
KLW,Klawock Airport
KMO,Manokotak Airport
KMY,Moser Bay Seaplane Base
KNW,New Stuyahok Airport
KOA,Kona Intl At Keahole
KOT,Kotlik Airport
KOY,Olga Bay Seaplane Base
KOZ,Ouzinkie Airport
KPB,Point Baker Seaplane Base
KPC,Port Clarence Coast Guard Station
KPN,Kipnuk Airport
KPR,Port Williams Seaplane Base
KPV,Perryville Airport
KPY,Port Bailey Seaplane Base
KQA,Akutan Seaplane Base
KSM,St Marys Airport
KTB,Thorne Bay Seaplane Base
KTN,Ketchikan Intl
KTS,Brevig Mission Airport
KUK,Kasigluk Airport
KVC,King Cove Airport
KVL,Kivalina Airport
KWK,Kwigillingok Airport
KWN,Quinhagak Airport
KWP,West Point Village Seaplane Base
KWT,Kwethluk Airport
KYK,Karuluk Airport
KYU,Koyukuk Airport
KZB,Zachar Bay Seaplane Base
L06,Furnace Creek
L35,Big Bear City
L52,Oceano County Airport
LAA,Lamar Muni
LAF,Purude University Airport
LAL,Lakeland Linder Regional Airport
LAM,Los Alamos Airport
LAN,Capital City
LAR,Laramie Regional Airport
LAS,Mc Carran Intl
LAW,Lawton-Fort Sill Regional Airport
LAX,Los Angeles Intl
LBB,Lubbock Preston Smith Intl
LBE,Arnold Palmer Regional Airport
LBF,North Platte Regional Airport Lee Bird Field
LBL,Liberal Muni
LBT,Municipal Airport
LCH,Lake Charles Rgnl
LCK,Rickenbacker Intl
LCQ,Lake City Municipal Airport
LDJ,Linden Airport
LEB,Lebanon Municipal Airport
LEW,Lewiston Maine
LEX,Blue Grass
LFI,Langley Afb
LFK,Angelina Co
LFT,Lafayette Rgnl
LGA,La Guardia
LGB,Long Beach
LGC,LaGrange-Callaway Airport
LGU,Logan-Cache
LHD,Lake Hood Seaplane Base
LHM,Lincoln Regional Airport Karl Harder Field
LHV,William T. Piper Mem.
LHX,La Junta Muni
LIH,Lihue
LIT,Adams Fld
LIV,Livingood Airport
LKE,Kenmore Air Harbor Seaplane Base
LKK,Kulik Lake Airport
LKP,Lake Placid Airport
LMT,Klamath Falls Airport
LNA,Palm Beach Co Park
LNK,Lincoln
LNN,Lost Nation Municipal Airport
LNR,Tri-County Regional Airport
LNS,Lancaster Airport
LNY,Lanai
LOT,Lewis University Airport
LOU,Bowman Fld
LOZ,London-Corbin Airport-MaGee Field
LPC,Lompoc Airport
LPR,Lorain County Regional Airport
LPS,Lopez Island Airport
LRD,Laredo Intl
LRF,Little Rock Afb
LRO,Mount Pleasant Regional-Faison Field
LRU,Las Cruces Intl
LSE,La Crosse Municipal
LSF,Lawson Aaf
LSV,Nellis Afb
LTS,Altus Afb
LUF,Luke Afb
LUK,Cincinnati Muni Lunken Fld
LUP,Kalaupapa Airport
LUR,Cape Lisburne Lrrs
LVK,Livermore Municipal
LVM,Mission Field Airport
LVS,Las Vegas Muni
LWA,South Haven Area Regional Airport
LWB,Greenbrier Valley Airport
LWC,Lawrence Municipal
LWM,Lawrence Municipal Airport
LWS,Lewiston Nez Perce Co
LWT,Lewistown Municipal Airport
LXY,Mexia - Limestone County Airport
LYH,Lynchburg Regional Preston Glenn Field
LYU,Ely Municipal
LZU,Gwinnett County Airport-Briscoe Field
M94,Desert Aire
MAE,Madera Municipal Airport
MAF,Midland Intl
MBL,Manistee County-Blacker Airport
MBS,Mbs Intl
MCC,Mc Clellan Afld
MCD,Mackinac Island Airport
MCE,Merced Municipal Airport
MCF,Macdill Afb
MCG,McGrath Airport
MCI,Kansas City Intl
MCK,McCook Regional Airport
MCL,McKinley National Park Airport
MCN,Middle Georgia Rgnl
MCO,Orlando Intl
MCW,Mason City Municipal
MDT,Harrisburg Intl
MDW,Chicago Midway Intl
ME5,Banks Airport
MEI,Key Field
MEM,Memphis Intl
MER,Castle
MFD,Mansfield Lahm Regional
MFE,Mc Allen Miller Intl
MFI,Marshfield Municipal Airport
MFR,Rogue Valley Intl Medford
MGC,Michigan City Municipal Airport
MGE,Dobbins Arb
MGJ,Orange County Airport
MGM,Montgomery Regional Airport
MGR,Moultrie Municipal Airport
MGW,Morgantown Muni Walter L Bill Hart Fld
MGY,Dayton-Wright Brothers Airport
MHK,Manhattan Reigonal
MHM,Minchumina Airport
MHR,Sacramento Mather
MHT,Manchester Regional Airport
MHV,Mojave
MIA,Miami Intl
MIB,Minot Afb
MIC,Crystal Airport
MIE,Delaware County Airport
MIV,Millville Muni
MKC,Downtown
MKE,General Mitchell Intl
MKG,Muskegon County Airport
MKK,Molokai
MKL,Mc Kellar Sipes Rgnl
MKO,Davis Fld
MLB,Melbourne Intl
MLC,Mc Alester Rgnl
MLD,Malad City
MLI,Quad City Intl
MLJ,Baldwin County Airport
MLL,Marshall Don Hunter Sr. Airport
MLS,Frank Wiley Field
MLT,Millinocket Muni
MLU,Monroe Rgnl
MLY,Manley Hot Springs Airport
MMH,Mammoth Yosemite Airport
MMI,McMinn Co
MMU,Morristown Municipal Airport
MMV,Mc Minnville Muni
MNM,Menominee Marinette Twin Co
MNT,Minto Airport
MNZ,Manassas
MOB,Mobile Rgnl
MOD,Modesto City Co Harry Sham
MOT,Minot Intl
MOU,Mountain Village Airport
MPB,Miami Seaplane Base
MPI,MariposaYosemite
MPV,Edward F Knapp State
MQB,Macomb Municipal Airport
MQI,Dare County Regional
MQT,Sawyer International Airport
MRB,Eastern WV Regional Airport
MRI,Merrill Fld
MRK,Marco Islands
MRN,Foothills Regional Airport
MRY,Monterey Peninsula
MSL,Northwest Alabama Regional Airport
MSN,Dane Co Rgnl Truax Fld
MSO,Missoula Intl
MSP,Minneapolis St Paul Intl
MSS,Massena Intl Richards Fld
MSY,Louis Armstrong New Orleans Intl
MTC,Selfridge Angb
MTH,Florida Keys Marathon Airport
MTJ,Montrose Regional Airport
MTM,Metlakatla Seaplane Base
MTN,Martin State
MUE,Waimea Kohala
MUI,Muir Aaf
MUO,Mountain Home Afb
MVL,Morrisville Stowe State Airport
MVY,Martha\\'s Vineyard
MWA,Williamson Country Regional Airport
MWC,Lawrence J Timmerman Airport
MWH,Grant Co Intl
MWL,Mineral Wells
MWM,Windom Municipal Airport
MXF,Maxwell Afb
MXY,McCarthy Airport
MYF,Montgomery Field
MYL,McCall Municipal Airport
MYR,Myrtle Beach Intl
MYU,Mekoryuk Airport
MYV,Yuba County Airport
MZJ,Pinal Airpark
N53,Stroudsburg-Pocono Airport
N69,Stormville Airport
N87,Trenton-Robbinsville Airport
NBG,New Orleans Nas Jrb
NBU,Naval Air Station
NCN,Chenega Bay Airport
NEL,Lakehurst Naes
NEW,Lakefront
NFL,Fallon Nas
NGF,Kaneohe Bay Mcaf
NGP,Corpus Christi NAS
NGU,Norfolk Ns
NGZ,NAS Alameda
NHK,Patuxent River Nas
NIB,Nikolai Airport
NID,China Lake Naws
NIP,Jacksonville Nas
NJK,El Centro Naf
NKT,Cherry Point Mcas
NKX,Miramar Mcas
NLC,Lemoore Nas
NLG,Nelson Lagoon
NME,Nightmute Airport
NMM,Meridian Nas
NNL,Nondalton Airport
NOW,Port Angeles Cgas
NPA,Pensacola Nas
NPZ,Porter County Municipal Airport
NQA,Millington Rgnl Jetport
NQI,Kingsville Nas
NQX,Key West Nas
NSE,Whiting Fld Nas North
NTD,Point Mugu Nas
NTU,Oceana Nas
NUI,Nuiqsut Airport
NUL,Nulato Airport
NUP,Nunapitchuk Airport
NUQ,Moffett Federal Afld
NUW,Whidbey Island Nas
NXP,Twentynine Palms Eaf
NXX,Willow Grove Nas Jrb
NY9,Long Lake
NYC,All Airports
NYG,Quantico Mcaf
NZC,Cecil Field
NZJ,El Toro
NZY,North Island Nas
O03,Morgantown Airport
O27,Oakdale Airport
OAJ,Albert J Ellis
OAK,Metropolitan Oakland Intl
OAR,Marina Muni
OBE,County
OBU,Kobuk Airport
OCA,Key Largo
OCF,International Airport
OEB,Branch County Memorial Airport
OFF,Offutt Afb
OGG,Kahului
OGS,Ogdensburg Intl
OJC,Johnson County Airport
OKC,Will Rogers World
OLF,LM Clayton Airport
OLH,Old Harbor Airport
OLM,Olympia Regional Airpor
OLS,Nogales Intl
OLT,San Diego Old Town Transit Center
OLV,Olive Branch Muni
OMA,Eppley Afld
OME,Nome
OMN,Ormond Beach municipal Airport
ONH,Oneonta Municipal Airport
ONP,Newport Municipal Airport
ONT,Ontario Intl
OOK,Toksook Bay Airport
OPF,Opa Locka
OQN,Brandywine Airport
OQU,Quonset State Airport
ORD,Chicago Ohare Intl
ORF,Norfolk Intl
ORH,Worcester Regional Airport
ORI,Port Lions Airport
ORL,Executive
ORT,Northway
ORV,Robert Curtis Memorial Airport
OSC,Oscoda Wurtsmith
OSH,Wittman Regional Airport
OSU,Ohio State University Airport
OTH,Southwest Oregon Regional Airport
OTS,Anacortes Airport
OTZ,Ralph Wien Mem
OWB,Owensboro Daviess County Airport
OWD,Norwood Memorial Airport
OXC,Waterbury-Oxford Airport
OXD,Miami University Airport
OXR,Oxnard - Ventura County
OZA,Ozona Muni
P08,Coolidge Municipal Airport
P52,Cottonwood Airport
PAE,Snohomish Co
PAH,Barkley Regional Airport
PAM,Tyndall Afb
PAO,Palo Alto Airport of Santa Clara County
PAQ,Palmer Muni
PBF,Grider Fld
PBG,Plattsburgh Intl
PBI,Palm Beach Intl
PBV,St George
PBX,Pike County Airport - Hatcher Field
PCW,Erie-Ottawa Regional Airport
PCZ,Waupaca Municipal Airport
PDB,Pedro Bay Airport
PDK,Dekalb-Peachtree Airport
PDT,Eastern Oregon Regional Airport
PDX,Portland Intl
PEC,Pelican Seaplane Base
PEQ,Pecos Municipal Airport
PFN,Panama City Bay Co Intl
PGA,Page Municipal Airport
PGD,Charlotte County-Punta Gorda Airport
PGV,Pitt-Greenville Airport
PHD,Harry Clever Field Airport
PHF,Newport News Williamsburg Intl
PHK,Pahokee Airport
PHL,Philadelphia Intl
PHN,St Clair Co Intl
PHO,Point Hope Airport
PHX,Phoenix Sky Harbor Intl
PIA,Peoria Regional
PIB,Hattiesburg Laurel Regional Airport
PIE,St Petersburg Clearwater Intl
PIH,Pocatello Regional Airport
PIM,Harris County Airport
PIP,Pilot Point Airport
PIR,Pierre Regional Airport
PIT,Pittsburgh Intl
PIZ,Point Lay Lrrs
PKB,Mid-Ohio Valley Regional Airport
PLN,Pellston Regional Airport of Emmet County Airport
PMB,Pembina Muni
PMD,Palmdale Rgnl Usaf Plt 42
PML,Port Moller Airport
PMP,Pompano Beach Airpark
PNC,Ponca City Rgnl
PNE,Northeast Philadelphia
PNM,Princeton Muni
PNS,Pensacola Rgnl
POB,Pope Field
POC,Brackett Field
POE,Polk Aaf
POF,Poplar Bluff Municipal Airport
PPC,Prospect Creek Airport
PPV,Port Protection Seaplane Base
PQI,Northern Maine Rgnl At Presque Isle
PQS,Pilot Station Airport
PRC,Ernest A Love Fld
PRL,Port Oceanic Airport
PSC,Tri Cities Airport
PSG,Petersburg James A. Johnson
PSM,Pease International Tradeport
PSP,Palm Springs Intl
PSX,Palacios Muni
PTA,Port Alsworth Airport
PTB,Dinwiddie County Airport
PTH,Port Heiden Airport
PTK,Oakland Co. Intl
PTU,Platinum
PUB,Pueblo Memorial
PUC,Carbon County Regional-Buck Davis Field
PUW,Pullman-Moscow Rgnl
PVC,Provincetown Muni
PVD,Theodore Francis Green State
PVU,Provo Municipal Airport
PWK,Chicago Executive
PWM,Portland Intl Jetport
PWT,Bremerton National
PYM,Plymouth Municipal Airport
PYP,Centre-Piedmont-Cherokee County Regional Airport
R49,Ferry County Airport
RAC,John H. Batten Airport
RAL,Riverside Muni
RAP,Rapid City Regional Airport
RBD,Dallas Executive Airport
RBK,French Valley Airport
RBM,Robinson Aaf
RBN,Fort Jefferson
RBY,Ruby Airport
RCA,Ellsworth Afb
RCE,Roche Harbor Seaplane Base
RCZ,Richmond County Airport
RDD,Redding Muni
RDG,Reading Regional Carl A Spaatz Field
RDM,Roberts Fld
RDR,Grand Forks Afb
RDU,Raleigh Durham Intl
RDV,Red Devil Airport
REI,Redlands Municipal Airport
RFD,Chicago Rockford International Airport
RHI,Rhinelander Oneida County Airport
RIC,Richmond Intl
RID,Richmond Municipal Airport
RIF,Richfield Minicipal Airport
RIL,Garfield County Regional Airport
RIR,Flabob Airport
RIU,Rancho Murieta
RIV,March Arb
RIW,Riverton Regional
RKD,Knox County Regional Airport
RKH,Rock Hill York Co Bryant Airport
RKP,Aransas County Airport
RKS,Rock Springs Sweetwater County Airport
RME,Griffiss Afld
RMG,Richard B Russell Airport
RMP,Rampart Airport
RMY,Brooks Field Airport
RND,Randolph Afb
RNM,Ramona Airport
RNO,Reno Tahoe Intl
RNT,Renton
ROA,Roanoke Regional
ROC,Greater Rochester Intl
ROW,Roswell Intl Air Center
RSH,Russian Mission Airport
RSJ,Rosario Seaplane Base
RST,Rochester
RSW,Southwest Florida Intl
RUT,Rutland State Airport
RVS,Richard Lloyd Jones Jr Airport
RWI,Rocky Mount Wilson Regional Airport
RWL,Rawlins Municipal Airport-Harvey Field
RYY,Cobb County Airport-Mc Collum Field
S30,Lebanon State
S40,Prosser
S46,Port O\\'Connor Airfield
SAA,Shively Field Airport
SAC,Sacramento Executive
SAD,Safford Regional Airport
SAF,Santa Fe Muni
SAN,San Diego Intl
SAT,San Antonio Intl
SAV,Savannah Hilton Head Intl
SBA,Santa Barbara Muni
SBD,San Bernardino International Airport
SBM,Sheboygan County Memorial Airport
SBN,South Bend Rgnl
SBO,Emanuel Co
SBP,San Luis County Regional Airport
SBS,Steamboat Springs Airport-Bob Adams Field
SBY,Salisbury Ocean City Wicomico Rgnl
SCC,Deadhorse
SCE,University Park Airport
SCH,Stratton ANGB - Schenectady County Airpor
SCK,Stockton Metropolitan
SCM,Scammon Bay Airport
SDC,Williamson-Sodus Airport
SDF,Louisville International Airport
SDM,Brown Field Municipal Airport
SDP,Sand Point Airport
SDX,Sedona
SDY,Sidney-Richland Municipal Airport
SEA,Seattle Tacoma Intl
SEE,Gillespie
SEF,Regional - Hendricks AAF
SEM,Craig Fld
SES,Selfield Airport
SFB,Orlando Sanford Intl
SFF,Felts Fld
SFM,Sanford Regional
SFO,San Francisco Intl
SFZ,North Central State
SGF,Springfield Branson Natl
SGH,Springfield-Beckly Municipal Airport
SGJ,St. Augustine Airport
SGR,Sugar Land Regional Airport
SGU,St George Muni
SGY,Skagway Airport
SHD,Shenandoah Valley Regional Airport
SHG,Shungnak Airport
SHH,Shishmaref Airport
SHR,Sheridan County Airport
SHV,Shreveport Rgnl
SHX,Shageluk Airport
SIK,Sikeston Memorial Municipal
SIT,Sitka Rocky Gutierrez
SJC,Norman Y Mineta San Jose Intl
SJT,San Angelo Rgnl Mathis Fld
SKA,Fairchild Afb
SKF,Lackland Afb Kelly Fld Annex
SKK,Shaktoolik Airport
SKY,Griffing Sandusky
SLC,Salt Lake City Intl
SLE,McNary Field
SLK,Adirondack Regional Airport
SLN,Salina Municipal Airport
SLQ,Sleetmute Airport
SMD,Smith Fld
SME,Lake Cumberland Regional Airport
SMF,Sacramento Intl
SMK,St. Michael Airport
SMN,Lemhi County Airport
SMO,Santa Monica Municipal Airport
SMX,Santa Maria Pub Cpt G Allan Hancock Airport
SNA,John Wayne Arpt Orange Co
SNP,St Paul Island
SNY,Sidney Muni Airport
SOP,Moore County Airport
SOW,Show Low Regional Airport
SPB,Scappoose Industrial Airpark
SPF,Black Hills Airport-Clyde Ice Field
SPG,Albert Whitted
SPI,Abraham Lincoln Capital
SPS,Sheppard Afb Wichita Falls Muni
SPW,Spencer Muni
SPZ,Silver Springs Airport
SQL,San Carlos Airport
SRQ,Sarasota Bradenton Intl
SRR,Sierra Blanca Regional Airport
SRV,Stony River 2 Airport
SSC,Shaw Afb
SSI,McKinnon Airport
STC,Saint Cloud Regional Airport
STE,Stevens Point Municipal Airport
STG,St. George Airport
STJ,Rosecrans Mem
STK,Sterling Municipal Airport
STL,Lambert St Louis Intl
STS,Charles M Schulz Sonoma Co
SUA,Witham Field Airport
SUE,Door County Cherryland Airport
SUN,Friedman Mem
SUS,Spirit Of St Louis
SUU,Travis Afb
SUX,Sioux Gateway Col Bud Day Fld
SVA,Savoonga Airport
SVC,Grant County Airport
SVH,Regional Airport
SVN,Hunter Aaf
SVW,Sparrevohn Lrrs
SWD,Seward Airport
SWF,Stewart Intl
SXP,Sheldon Point Airport
SXQ,Soldotna Airport
SYA,Eareckson As
SYB,Seal Bay Seaplane Base
SYR,Syracuse Hancock Intl
SZL,Whiteman Afb
TAL,Tanana Airport
TAN,Taunton Municipal Airport - King Field
TBN,Waynesville Rgnl Arpt At Forney Fld
TCC,Tucumcari Muni
TCL,Tuscaloosa Rgnl
TCM,Mc Chord Afb
TCS,Truth Or Consequences Muni
TCT,Takotna Airport
TEB,Teterboro
TEK,Tatitlek Airport
TEX,Telluride
TIK,Tinker Afb
TIW,Tacoma Narrows Airport
TIX,Space Coast Reg'l Airport
TKA,Talkeetna
TKE,Tenakee Seaplane Base
TKF,Truckee-Tahoe Airport
TKI,Collin County Regional Airport at Mc Kinney
TLA,Teller Airport
TLH,Tallahassee Rgnl
TLJ,Tatalina Lrrs
TLT,Tuluksak Airport
TMA,Henry Tift Myers Airport
TMB,Kendall Tamiami Executive
TNC,Tin City LRRS Airport
TNK,Tununak Airport
TNT,Dade Collier Training And Transition
TNX,Tonopah Test Range
TOA,Zamperini Field Airport
TOC,Toccoa RG Letourneau Field Airport
TOG,Togiak Airport
TOL,Toledo
TOP,Philip Billard Muni
TPA,Tampa Intl
TPL,Draughon Miller Central Texas Rgnl
TRI,Tri-Cities Regional Airport
TRM,Jacqueline Cochran Regional Airport
TSS,East 34th Street Heliport
TTD,Portland Troutdale
TTN,Trenton Mercer
TUL,Tulsa Intl
TUP,Tupelo Regional Airport
TUS,Tucson Intl
TVC,Cherry Capital Airport
TVF,Thief River Falls
TVI,Thomasville Regional Airport
TVL,Lake Tahoe Airport
TWA,Twin Hills Airport
TWD,Jefferson County Intl
TWF,Magic Valley Regional Airport
TXK,Texarkana Rgnl Webb Fld
TYE,Tyonek Airport
TYR,Tyler Pounds Rgnl
TYS,Mc Ghee Tyson
TZR,Bolton Field
U76,Mountain Home Municipal Airport
UCA,Union Station
UDD,Bermuda Dunes Airport
UDG,Darlington County Jetport
UES,Waukesha County Airport
UGN,Waukegan Rgnl
UIN,Quincy Regional Baldwin Field
UMP,Indianapolis Metropolitan Airport
UNK,Unalakleet Airport
UPP,Upolu
UST,St. Augustine Airport
UT3,Hite Airport
UTM,Tunica Municipal Airport
UTO,Indian Mountain Lrrs
UUK,Ugnu-Kuparuk Airport
UUU,Newport State
UVA,Garner Field
VAD,Moody Afb
VAK,Chevak Airport
VAY,South Jersey Regional Airport
VBG,Vandenberg Afb
VCT,Victoria Regional Airport
VCV,Southern California Logistics
VDF,Tampa Executive Airport
VDZ,Valdez Pioneer Fld
VEE,Venetie Airport
VEL,Vernal Regional Airport
VGT,North Las Vegas Airport
VIS,Visalia Municipal Airport
VLD,Valdosta Regional Airport
VNW,Van Wert County Airport
VNY,Van Nuys
VOK,Volk Fld
VPC,Cartersville Airport
VPS,Eglin Afb
VRB,Vero Beach Muni
VSF,Hartness State
VYS,Illinois Valley Regional
W04,Ocean Shores Municipal
W13,Eagle's Nest Airport
WAA,Wales Airport
WAL,Wallops Flight Facility
WAS,All Airports
WBB,Stebbins Airport
WBQ,Beaver Airport
WBU,Boulder Municipal
WBW,Wilkes-Barre Wyoming Valley Airport
WDR,Barrow County Airport
WFB,Ketchikan harbor Seaplane Base
WFK,Northern Aroostook Regional Airport
WHD,Hyder Seaplane Base
WHP,Whiteman Airport
WIH,Wishram Amtrak Station
WKK,Aleknagik Airport
WKL,Waikoloa Heliport
WLK,Selawik Airport
WMO,White Mountain Airport
WRB,Robins Afb
WRG,Wrangell Airport
WRI,Mc Guire Afb
WRL,Worland Municipal Airport
WSD,Condron Aaf
WSJ,San Juan - Uganik Seaplane Base
WSN,South Naknek Airport
WST,Westerly State Airport
WSX,Westsound Seaplane Base
WTK,Noatak Airport
WTL,Tuntutuliak Airport
WWD,Cape May Co
WWP,North Whale Seaplane Base
WWT,Newtok Airport
WYS,Yellowstone Airport
X01,Everglades Airpark
X04,Apopka
X07,Lake Wales Municipal Airport
X21,Arthur Dunn Airpark
X26,Sebastian Municipal
X39,Tampa North Aero Park
X49,South Lakeland Airport
X59,Valkaria Municipal
XFL,Flagler County Airport
XNA,NW Arkansas Regional
XZK,Amherst Amtrak Station AMM
Y51,Municipal Airport
Y72,Bloyer Field
YAK,Yakutat
YIP,Willow Run
YKM,Yakima Air Terminal McAllister Field
YKN,Chan Gurney
YNG,Youngstown Warren Rgnl
YUM,Yuma Mcas Yuma Intl
Z84,Clear
ZBP,Penn Station
ZFV,Philadelphia 30th St Station
ZPH,Municipal Airport
ZRA,Atlantic City Rail Terminal
ZRD,Train Station
ZRP,Newark Penn Station
ZRT,Hartford Union Station
ZRZ,New Carrollton Rail Station
ZSF,Springfield Amtrak Station
ZSY,Scottsdale Airport
ZTF,Stamford Amtrak Station
ZTY,Boston Back Bay Station
ZUN,Black Rock
ZVE,New Haven Rail Station
ZWI,Wilmington Amtrak Station
ZWU,Washington Union Station
ZYP,Penn Station
